id;code;code_secteur;secteur;code_sous_secteur;sous_secteur;nom;version;date_debut;date_fin;metropole;outre_mer;no_version
BAR-EN-101v14-1;BAR-EN-101;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation de combles ou de toitures;A14-1;01/01/2015;31/03/2018;1;0;1
BAR-EN-101v27-2;BAR-EN-101;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation de combles ou de toitures;A27-2;01/04/2018;31/08/2020;1;0;2
BAR-EN-101v33-3;BAR-EN-101;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation de combles ou de toitures;A33-3;01/09/2020;30/04/2022;1;0;3
BAR-EN-101v39-4;BAR-EN-101;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation de combles ou de toitures;A39-4;01/05/2022;31/12/2023;1;0;4
BAR-EN-101v54-5;BAR-EN-101;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation de combles ou de toitures;A54-5;01/01/2024;30/04/2027;1;0;5
BAR-EN-102v14-1;BAR-EN-102;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation des murs;A14-1;01/01/2015;30/04/2022;1;0;1
BAR-EN-102v39-2;BAR-EN-102;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation des murs;A39-2;01/05/2022;;1;0;2
BAR-EN-103v14-1;BAR-EN-103;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation d'un plancher;A14-1;01/01/2015;31/03/2019;1;1;1
BAR-EN-103v29-2;BAR-EN-103;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation d'un plancher;A29-2;01/04/2019;31/08/2020;1;1;2
BAR-EN-103v33-3;BAR-EN-103;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation d'un plancher;A33-3;01/09/2020;11/10/2020;1;1;3
BAR-EN-103v36-4;BAR-EN-103;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation d'un plancher;A36-4;12/10/2020;30/04/2022;1;1;4
BAR-EN-103v39-5;BAR-EN-103;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation d'un plancher;A39-5;01/05/2022;;1;1;5
BAR-EN-104v14-1;BAR-EN-104;BAR;Bâtiment Résidentiel;EN;Enveloppe;Fenêtre ou porte-fenêtre complète avec vitrage isolant;A14-1;01/01/2015;31/12/2023;1;1;1
BAR-EN-104v54-2;BAR-EN-104;BAR;Bâtiment Résidentiel;EN;Enveloppe;Fenêtre ou porte-fenêtre complète avec vitrage isolant;A54-2;01/01/2024;30/06/2028;1;1;2
BAR-EN-105v14-1;BAR-EN-105;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation des toitures terrasses;A14-1;01/01/2015;31/03/2021;1;1;1
BAR-EN-105v37-2;BAR-EN-105;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation des toitures terrasses;A37-2;01/04/2021;30/04/2022;1;1;2
BAR-EN-105v39-3;BAR-EN-105;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation des toitures terrasses;A39-3;01/05/2022;;1;1;3
BAR-EN-106v15-1;BAR-EN-106;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation de combles ou de toitures (France d'outre-mer);A15-1;01/01/2015;04/10/2015;0;1;1
BAR-EN-106v18-2;BAR-EN-106;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation de combles ou de toitures (France d'outre-mer);A18-2;05/10/2015;12/03/2016;0;1;2
BAR-EN-106v20-3;BAR-EN-106;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation de combles ou de toitures (France d'outre-mer);A20-3;13/03/2016;31/08/2020;0;1;3
BAR-EN-106v33-4;BAR-EN-106;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation de combles ou de toitures (France d'outre-mer);A33-4;01/09/2020;;0;1;4
BAR-EN-107v15-1;BAR-EN-107;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation des murs (France d'outre-mer);A15-1;01/01/2015;04/10/2015;0;1;1
BAR-EN-107v18-2;BAR-EN-107;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation des murs (France d'outre-mer);A18-2;05/10/2015;12/03/2016;0;1;2
BAR-EN-107v20-3;BAR-EN-107;BAR;Bâtiment Résidentiel;EN;Enveloppe;Isolation des murs (France d'outre-mer);A20-3;13/03/2016;;0;1;3
BAR-EN-108v14-1;BAR-EN-108;BAR;Bâtiment Résidentiel;EN;Enveloppe;Fermeture isolante;A14-1;01/01/2015;31/03/2021;1;1;1
BAR-EN-108v37-2;BAR-EN-108;BAR;Bâtiment Résidentiel;EN;Enveloppe;Fermeture isolante;A37-2;01/04/2021;31/12/2023;1;1;2
BAR-EN-108v54-3;BAR-EN-108;BAR;Bâtiment Résidentiel;EN;Enveloppe;Fermeture isolante;A54-3;01/01/2024;30/06/2028;1;1;3
BAR-EN-109v24-1;BAR-EN-109;BAR;Bâtiment Résidentiel;EN;Enveloppe;Réduction des apports solaires par la toiture (France d'outre-mer);A24-1;23/12/2016;;0;1;1
BAR-EN-110v35-1;BAR-EN-110;BAR;Bâtiment Résidentiel;EN;Enveloppe;Fenêtre ou porte-fenêtre complète avec vitrage pariétodynamique;A35-1;03/08/2020;;1;1;1
BAR-EQ-101v14-1;BAR-EQ-101;BAR;Bâtiment Résidentiel;EQ;Equipement;Lampe fluo-compacte de classe A;A14-1;01/01/2015;30/09/2017;1;1;1
BAR-EQ-102v15-1;BAR-EQ-102;BAR;Bâtiment Résidentiel;EQ;Equipement;Lave-linge ménager de classe A++ ou A+++;A15-1;01/01/2015;31/08/2022;1;1;1
BAR-EQ-103v15-1;BAR-EQ-103;BAR;Bâtiment Résidentiel;EQ;Equipement;Appareil de réfrigération ménager de classe A++ ou A+++;A15-1;01/01/2015;31/08/2022;1;1;1
BAR-EQ-110v15-1;BAR-EQ-110;BAR;Bâtiment Résidentiel;EQ;Equipement;Luminaire à modules LED avec dispositif de contrôle pour les parties communes;A15-1;01/01/2015;;1;1;1
BAR-EQ-111v14-1;BAR-EQ-111;BAR;Bâtiment Résidentiel;EQ;Equipement;"Lampe à LED de classe A+ (< 01/10/2017)
Lampe de classe A++
(> 01/10/2017)";A14-1;01/01/2015;30/06/2016;1;1;1
BAR-EQ-111v21-2;BAR-EQ-111;BAR;Bâtiment Résidentiel;EQ;Equipement;"Lampe à LED de classe A+ (< 01/10/2017)
Lampe de classe A++
(> 01/10/2017)";A21-2;01/07/2016;30/09/2017;1;1;2
BAR-EQ-111v26-3;BAR-EQ-111;BAR;Bâtiment Résidentiel;EQ;Equipement;"Lampe à LED de classe A+ (< 01/10/2017)
Lampe de classe A++
(> 01/10/2017)";A26-3;01/10/2017;31/03/2022;1;1;3
BAR-EQ-112v14-1;BAR-EQ-112;BAR;Bâtiment Résidentiel;EQ;Equipement;Systèmes hydroéconomes (France métropolitaine);A14-1;01/01/2015;31/12/2014;1;0;1
BAR-EQ-112v15-2;BAR-EQ-112;BAR;Bâtiment Résidentiel;EQ;Equipement;Systèmes hydroéconomes (France métropolitaine);A15-2;01/01/2015;30/04/2016;1;0;2
BAR-EQ-113v17-1;BAR-EQ-113;BAR;Bâtiment Résidentiel;EQ;Equipement;Dispositif d'affichage et d'interprétation des consommations pour un logement chauffé à l'électricité;A17-1;01/01/2015;31/12/2018;1;1;1
BAR-EQ-114v17-1;BAR-EQ-114;BAR;Bâtiment Résidentiel;EQ;Equipement;Dispositif d'affichage et d'interprétation des consommations d'énergie pour un logement chauffé au combustible;A17-1;01/01/2015;31/12/2018;1;1;1
BAR-EQ-115v28-1;BAR-EQ-115;BAR;Bâtiment Résidentiel;EQ;Equipement;Dispositif d'affichage et d'interprétation des consommations d'énergie;A28-1;01/01/2019;;1;1;1
BAR-SE-104v19-1;BAR-SE-104;BAR;Bâtiment Résidentiel;SE;Service;Réglage des organes d'équilibrage d'une installation de chauffage à eau chaude;A19-1;04/01/2016;;1;1;1
BAR-SE-105v28-1;BAR-SE-105;BAR;Bâtiment Résidentiel;SE;Service;Contrat de Performance Energétique Services (CPE Services);A28-1;19/12/2018;;1;1;1
BAR-SE-107v37-1;BAR-SE-107;BAR;Bâtiment Résidentiel;SE;Service;Abaissement de la température de retour vers un réseau de chaleur;A37-1;31/12/2020;;1;0;1
BAR-SE-108v48-1;BAR-SE-108;BAR;Bâtiment Résidentiel;SE;Service;Désembouage d'un réseau hydraulique individuel de chauffage en France métropolitaine;A48-1;14/10/2022;;1;0;1
BAR-SE-109v54-1;BAR-SE-109;BAR;Bâtiment Résidentiel;SE;Service;Désembouage d'un réseau hydraulique de chauffage collectif en France métropolitaine;A54-1;30/09/2023;;1;0;1
BAR-TH-101v17-1;BAR-TH-101;BAR;Bâtiment Résidentiel;TH;Thermique;Chauffe-eau solaire individuel (France métropolitaine);A17-1;01/01/2015;;1;0;1
